Name;Revision;Veraltet;NameTabelle;NameSpalte
Berufskolleg_Anlagen_UC1;;;Berufskolleg_Anlagen;Kuerzel
Credentials_UC1;;;Credentials;Benutzername
CredentialsLernplattformen_UC1;;;CredentialsLernplattformen;Benutzername
CredentialsLernplattformen_UC1;;;CredentialsLernplattformen;LernplattformID
EigeneSchule_Faecher_UC1;;;EigeneSchule_Faecher;FachKrz
EigeneSchule_Jahrgaenge_UC1;;;EigeneSchule_Jahrgaenge;InternKrz
EigeneSchule_Kursart_UC1;;;EigeneSchule_Kursart;Kursart
EigeneSchule_Kursart_UC1;;;EigeneSchule_Kursart;KursartAllg
EigeneSchule_Schulformen_UC1;;;EigeneSchule_Schulformen;SGL
EigeneSchule_Zertifikate_UC1;;;EigeneSchule_Zertifikate;Kuerzel
Fachgruppen_UC1;;;Fachgruppen;SchildFgID
K_Adressart_UC1;;;K_Adressart;Bezeichnung
K_BeschaeftigungsArt_UC1;;;K_BeschaeftigungsArt;Bezeichnung
K_EinschulungsArt_UC1;;;K_EinschulungsArt;Bezeichnung
K_EntlassGrund_UC1;;;K_EntlassGrund;Bezeichnung
K_ErzieherArt_UC1;1;;K_ErzieherArt;Bezeichnung
K_ErzieherFunktion_UC1;;;K_ErzieherFunktion;Bezeichnung
K_FahrschuelerArt_UC1;;;K_FahrschuelerArt;Bezeichnung
K_Foerderschwerpunkt_UC1;;;K_Foerderschwerpunkt;Bezeichnung
K_Haltestelle_UC1;;;K_Haltestelle;Bezeichnung
K_Lehrer_UC1;;;K_Lehrer;Kuerzel
K_Ort_UC1;1;;K_Ort;Bezeichnung
K_Ort_UC1;1;;K_Ort;PLZ
K_Ortsteil_UC1;1;;K_Ortsteil;Bezeichnung
K_Religion_UC1;1;;K_Religion;Bezeichnung
K_Schule_UC1;;;K_Schule;SchulNr
K_Schwerpunkt_UC1;;;K_Schwerpunkt;Bezeichnung
K_Sportbefreiung_UC1;;;K_Sportbefreiung;Bezeichnung
K_TelefonArt_UC1;;;K_TelefonArt;Bezeichnung
K_Vermerkart_UC1;;;K_Vermerkart;Bezeichnung
Katalog_Aufsichtsbereich_UC1;;;Katalog_Aufsichtsbereich;Kuerzel
Katalog_Pausenzeiten_UC1;;;Katalog_Pausenzeiten;Beginn
Katalog_Pausenzeiten_UC1;;;Katalog_Pausenzeiten;Ende
Katalog_Pausenzeiten_UC1;;;Katalog_Pausenzeiten;Tag
Katalog_Raeume_UC1;;;Katalog_Raeume;Kuerzel
Katalog_Zeitraster_UC1;;;Katalog_Zeitraster;Stunde
Katalog_Zeitraster_UC1;;;Katalog_Zeitraster;Tag
Klassen_UC1;;;Klassen;Klasse
Klassen_UC1;;;Klassen;Schuljahresabschnitts_ID
Kurse_UC1;1;;Kurse;Schuljahresabschnitts_ID
Kurse_UC1;1;;Kurse;ASDJahrgang
Kurse_UC1;1;;Kurse;Fach_ID
Kurse_UC1;1;;Kurse;Jahrgaenge
Kurse_UC1;1;;Kurse;KursartAllg
Kurse_UC1;1;;Kurse;KurzBez
Kurse_UC1;1;;Kurse;Lehrer_ID
Kurse_UC1;1;;Kurse;WochenStd
KursFortschreibungsarten_UC1;;;KursFortschreibungsarten;Kuerzel
LehrerAbschnittsdaten_UC1;2;;LehrerAbschnittsdaten;Lehrer_ID
LehrerAbschnittsdaten_UC1;2;;LehrerAbschnittsdaten;Schuljahresabschnitts_ID
LehrerAnrechnung_UC1;2;;LehrerAnrechnung;Abschnitt_ID
LehrerAnrechnung_UC1;2;;LehrerAnrechnung;AnrechnungsgrundKrz
LehrerEntlastung_UC1;2;;LehrerEntlastung;Abschnitt_ID
LehrerEntlastung_UC1;2;;LehrerEntlastung;EntlastungsgrundKrz
LehrerFunktionen_UC1;2;;LehrerFunktionen;Abschnitt_ID
LehrerFunktionen_UC1;2;;LehrerFunktionen;Funktion_ID
LehrerMehrleistung_UC1;2;;LehrerMehrleistung;Abschnitt_ID
LehrerMehrleistung_UC1;2;;LehrerMehrleistung;MehrleistungsgrundKrz
Noten_UC1;;;Noten;Kuerzel
PersonalTypen_UC1;;;PersonalTypen;Kuerzel
SchildFilter_UC1;;;SchildFilter;Name
Schueler_UC1;;;Schueler;GU_ID
SchuelerAbitur_UC1;;;SchuelerAbitur;Schueler_ID
SchuelerFHR_UC1;;;SchuelerFHR;Schueler_ID
SchuelerLD_PSFachBem_UC1;;;SchuelerLD_PSFachBem;Abschnitt_ID
SchuelerLeistungsdaten_UC1;2;;SchuelerLeistungsdaten;Abschnitt_ID
SchuelerLeistungsdaten_UC1;2;;SchuelerLeistungsdaten;Fach_ID
SchuelerLeistungsdaten_UC1;2;;SchuelerLeistungsdaten;Fachlehrer_ID
SchuelerLeistungsdaten_UC1;2;;SchuelerLeistungsdaten;Kurs_ID
SchuelerLeistungsdaten_UC1;2;;SchuelerLeistungsdaten;Kursart
SchuelerLernabschnittsdaten_UC1;1;;SchuelerLernabschnittsdaten;Schuljahresabschnitts_ID
SchuelerLernabschnittsdaten_UC1;1;;SchuelerLernabschnittsdaten;Schueler_ID
SchuelerLernabschnittsdaten_UC1;1;;SchuelerLernabschnittsdaten;WechselNr
SchuelerListe_UC1;;;SchuelerListe;Bezeichnung
SchuelerStatus_UC1;;;SchuelerStatus;Bezeichnung
SchuelerZP10_UC1;;;SchuelerZP10;Schueler_ID
SchuelerZP10_UC1;;;SchuelerZP10;Schuljahresabschnitts_ID
SchuelerZP10_UC1;;;SchuelerZP10;Fach_ID
Statkue_SVWS_SprachpruefungNiveaus_UC1;;;Statkue_SVWS_SprachpruefungNiveaus;Bezeichnung
Stundenplan_Aufsichtsbereiche_UC1;;;Stundenplan_Aufsichtsbereiche;Kuerzel
Stundenplan_Aufsichtsbereiche_UC1;;;Stundenplan_Aufsichtsbereiche;Stundenplan_ID
Stundenplan_Pausenaufsichten_UC1;;;Stundenplan_Pausenaufsichten;Lehrer_ID
Stundenplan_Pausenaufsichten_UC1;;;Stundenplan_Pausenaufsichten;Pausenzeit_ID
Stundenplan_PausenaufsichtenBereich_UC1;;;Stundenplan_PausenaufsichtenBereich;Aufsichtsbereich_ID
Stundenplan_PausenaufsichtenBereich_UC1;;;Stundenplan_PausenaufsichtenBereich;Pausenaufsicht_ID
Stundenplan_Pausenzeit_UC1;;;Stundenplan_Pausenzeit;Beginn
Stundenplan_Pausenzeit_UC1;;;Stundenplan_Pausenzeit;Ende
Stundenplan_Pausenzeit_UC1;;;Stundenplan_Pausenzeit;Stundenplan_ID
Stundenplan_Pausenzeit_UC1;;;Stundenplan_Pausenzeit;Tag
Stundenplan_Raeume_UC1;;;Stundenplan_Raeume;Kuerzel
Stundenplan_Raeume_UC1;;;Stundenplan_Raeume;Stundenplan_ID
Stundenplan_Unterricht_UC1;;;Stundenplan_Unterricht;Klasse_ID
Stundenplan_Unterricht_UC1;;;Stundenplan_Unterricht;Kurs_ID
Stundenplan_Unterricht_UC1;;;Stundenplan_Unterricht;Zeitraster_ID
Stundenplan_UnterrichtLehrer_UC1;;;Stundenplan_UnterrichtLehrer;Lehrer_ID
Stundenplan_UnterrichtLehrer_UC1;;;Stundenplan_UnterrichtLehrer;Unterricht_ID
Stundenplan_UnterrichtRaum_UC1;;;Stundenplan_UnterrichtRaum;Raum_ID
Stundenplan_UnterrichtRaum_UC1;;;Stundenplan_UnterrichtRaum;Unterricht_ID
Stundenplan_Zeitraster_UC1;;;Stundenplan_Zeitraster;Stunde
Stundenplan_Zeitraster_UC1;;;Stundenplan_Zeitraster;Stundenplan_ID
Stundenplan_Zeitraster_UC1;;;Stundenplan_Zeitraster;Tag
Stundentafel_Faecher_UC1;;;Stundentafel_Faecher;Fach_ID
Stundentafel_Faecher_UC1;;;Stundentafel_Faecher;Stundentafel_ID
Usergroups_UC1;;;Usergroups;UG_Bezeichnung
Users_UC1;;;Users;US_LoginName
